section,title,institution,division,department,salary_range,agency_insertion_num,application_deadline,keywords,description_date
US: Other Academic (Visiting or Temporary),IDEAL Provostial Fellows for Studies in Race and Ethnicity,Stanford University,,,"$83,000",,2021-10-01 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Positions in Finance,Stanford University,,Graduate School of Business ,,,2021-11-15 00:00:00,,2021-11-15
US: Other Academic (Visiting or Temporary),Japan Program Postdoctoral Fellowship on Contemporary Japan 2022-2023,Stanford University,,Shorenstein Asia-Pacific Research Center,"60,000/commensurate with Stanford University policy",,2022-01-03 00:00:00,Japan/Economics/Political Economy/Political Science/International Relations/Sociology/Law/Policy Studies,
US: Other Academic (Visiting or Temporary),Shorenstein Postdoctoral Fellow on Contemporary Asia 2022-23,Stanford University,,Shorenstein Asia-Pacific Research Center,Commensurate with Stanford University policy,,2022-01-03 00:00:00,Asia-Pacific/Political Economy/International Economics/Political Science/International Relations/Social Change/Policy/Northeast Asia/Southeast Asia/South Asia,
US: Other Academic (Visiting or Temporary),SIEPR Postdoctoral Fellowships in Applied Economic Policy,Stanford University,,Stanford Institute for Economic Policy Research,,,2021-11-15 00:00:00,Economic Policy/Empirical,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate or Full Professor (Teaching) in Data Science,Stanford University,,Statistics,,,2022-01-31 00:00:00,Data Science/Statistics,2021-11-16
US: Other Academic (Visiting or Temporary),Postdoctoral Associate,Stanford University,Institute for Human-Centered Artificial Intelligence &amp; the Stanford Graduate School of Business,Digital Economy Lab &amp; Golub Capital Social Impact Lab,,,2022-07-31 00:00:00,Economics/Future of work/AI/technology/Social impact /digital economy /labor economics/econometrics/measurement/ ,
US: Other Academic (Visiting or Temporary),Postdoctoral Fellowship at the Stanford King Center on Global Development,Stanford University,King Center on Global Development,,competitive,,2021-12-01 00:00:00,Economic Development,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Stanford University,School of Humanities &amp; Sciences,Economics,,,,All Fields/Assistant Professor/Tenure Track/Lateral Applications/PhD/Economics/Graduate Program,2021-11-15
US: Other Academic (Visiting or Temporary),2022-23 Asia Health Policy Postdoctoral Fellowship,Stanford University,Shorenstein Asia-Pacific Research Center,Asia Health Policy Program,"$60,000",,2022-01-03 00:00:00,"Health economics, health policy, Asia",
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Stanford University - Assistant, Associate, or Full Professor, General Pediatrics",Stanford University School of Medicine,General Pediatrics,Pediatrics,,,2022-01-31 00:00:00,General Pediatrics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure -Track Assistant/Associate Professor of Economics ,Stevens Institute of Technology,School of Business,,Competitive,,2022-01-31 00:00:00,"Labor Economics/Demand and Supply of Labor/Wages, Compensation, and Labor Costs/Particular Labor Markets/Personnel Economics. ",2021-10-29
US: Other Academic (Visiting or Temporary),"Lecturer - College of Arts and Sciences Inclusion, Diversity, Equity and Access (IDEA) Fellow",Stony Brook University,,,,2499515,2021-10-15 00:00:00,,
US: Other Academic (Visiting or Temporary),Postdoctoral Researcher - Autonomous Systems/Artificial Intelligence,Syracuse University ,,Autonomous Systems Policy Institute,,,2022-01-31 00:00:00,Autonomous systems/Artificial intelligence/Emerging technologies/Future of work /Society &amp; technology/International Security &amp; Law/Technology policy &amp; regulation/Social sciences/Public policy,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)", Assistant Professor in Economics,Syracuse University,,Department of Economics ,,171823,2022-01-31 00:00:00,Assistant Professor level ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor in Public Economics,Syracuse University,,Department of Economics ,commensurate with Experience,172679,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate/Full Professor in Health Economics,Syracuse University,,Department of Economics,,170155,2022-01-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","DTU Tenure Track Assistant Professor(s) or Associate  Professor(s) in Urban-, Regional- and/or Transport Economics",Technical University of Denmark,,DTU Management,,114573,2022-11-01 00:00:00,Transport Economics/Urban Economics/Regional Economics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Open Rank Faculty Positions,Tecnológico de Monterrey,Economics,Economics,competitive,,2021-11-28 00:00:00,"Finance, Macroecnomics, Health economics, microeconomics.",2021-11-28
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Lecturer/Senior Lecturer/Associate/Full Professor,Tel Aviv University,,Economics,,,2021-11-08 00:00:00,,2021-11-08
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Academic Professional Track (Non-tenure): Instructional Assistant Professor,Texas A&amp;M University ,College of Agriculture and Life Science,Agricultural Economics,Competitive,,2022-07-31 00:00:00,Agricultural Economics and Agribusiness,
US: Other Academic (Visiting or Temporary),Research Associate in Economics/Statistics,Texas A&amp;M University - San Antonio,College of Business,Department of Accounting &amp; Finance,"$50,000",,2022-01-31 00:00:00,Applied Econometrics/Financial Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenured: Professor &amp; Department Head,Texas A&amp;M University: The Bush School of Government &amp; Public Service,The Bush School of Government &amp; Public Service,International Affairs,Commensurate,,2022-01-31 00:00:00,Ph.D. /Department Head/Tenured/Leadership role/Administrative ,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Jerry D. &amp; Gregg Fields Chair in Business Analytics,Texas State University,McCoy College of Business,,,,2022-01-31 00:00:00,Data Analytics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor/ Associate Professor,Thapar Institute of Engineering and Technology ( Thapar University ) ,Thapar School of Liberal Arts and Sciences,Economics,Highly Competitive,,2022-01-31 00:00:00,Any Field/Macroeconomics/India,
Full-Time Nonacademic,Associate ,The Brattle Group,,,,,2022-01-31 00:00:00,Industrial Organization/Competition/Anti-trust/Mergers/Econometrics/Consulting/Securities/Corporate Finance/Valuation,2021-12-03
Full-Time Nonacademic,Associate - Early Decision,The Brattle Group,,,,,2021-10-11 00:00:00,Industrial Organization/Econometrics/Consulting/Competition/Mergers/Securities/Corporate Finance,2021-10-11
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)","Alice Rivlin Fellow, Hutchins Center on Fiscal and Monetary Policy (Job ID: 2021-2646)",The Brookings Institution,,,,R23633395,2022-01-31 00:00:00,"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor / Associate Professor / Assistant Professor (Business Economics) ,The Chinese University of Hong Kong,,Department of Decision Sciences and Managerial Economics ,,682553,2022-01-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor /Associate Professor/Assistant Professor in Economics,"The Chinese University of Hong Kong, Shenzhen",,The School of Management and Economics,,682984,2022-01-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Professor / Assistant Professor in Economics,The Hong Kong Polytechnic University,,School of Accounting and Finance ,,,2022-01-31 00:00:00,International Economics/Development Economics/Applied Economics,2021-10-13
International: Other Academic (Visiting or Temporary),Research Assistant Professor in Economics ,The Hong Kong Polytechnic University,,School of Accounting and Finance ,,,2022-01-31 00:00:00,International Economics/Development Economics/Applied Economics ,2021-10-13
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor / Associate Professor / Professor,The Hong Kong University of Science and Technology (Guangzhou),Society Hub,Financial Technology Thrust,Highly Competitive,,2022-01-31 00:00:00,"Big data in finance/Machine learning and artificial intelligence in finance/Blockchain technology, smart contracts, and digital currencies/Robo advising, modern portfolio analysis and risk management/Algorithm trading and financial predictions/Technology innovations for financial services/Regulatory issues and challenges in FinTech/Financial Inclusion",2021-10-06
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Director, Center for Human Resource Research ",The Ohio State University,,,,,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,The Ohio State University,College of Arts and Sciences,Department of Economics,,,2022-01-31 00:00:00,Econometrics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,The Ohio State University,College of Arts and Sciences,Department of Economics,,,2022-01-31 00:00:00,Empirical Industrial Organization,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenured or Tenure-Track Faculty: Health Economics ,The University of Chicago,Biological Sciences Division,Department of Public Health Sciences,TBD,PHS010,2022-07-31 00:00:00,Health Economics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate Professor of Econometrics &amp; Statistics,The University of Chicago Booth School of Business,,,,,2022-03-30 00:00:00,,2021-11-12
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate Professor of Microeconomics,The University of Chicago Booth School of Business,,,,,2021-11-15 00:00:00,,2021-10-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate or Advanced Assistant Professor,The University of Georgia,Terry College of Business,Department of Economics,,,2022-01-31 00:00:00,Sustainability/Health/Labor/IO/Development/Urban/Macro,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Track Professor/Associate Professor/Assistant Professor (several posts),The University of Hong Kong,Faculty of Business and Economics,,,682716,2022-07-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Track Professor/Associate Professor/Assistant Professor (several posts),The University of Hong Kong,Faculty of Business and Economics,,,682717,2022-07-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate, or Full Professor of Finance",The University of Texas at Austin,McCombs School of Business,Finance,,,2021-11-19 00:00:00,"Finance, Economics",2021-11-19
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Full/Associate/Assistant Professor in Industrial Organization,The University of Tokyo,Graduate School of Economics,,,,2021-11-26 00:00:00,Industrial organization,2021-11-26
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor of Operations, Information &amp; Decisions (Tenure Track) ",The Wharton School – University of Pennsylvania,,"Operations, Information and Decisions",,,2021-10-08 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Positions,Tianjin University,Ma Yinchu School of Economics,,,,2021-11-19 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Trinity College,,Economics Department,,,2021-11-01 00:00:00,Macroeconomics/Non-monetary,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Trinity College,,Economics Department,,,2021-11-08 00:00:00,Behavioral/Evolutionary,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Search in Economics for an Assistant Professor,Tuck School of Business,,Economics,,,2021-11-12 00:00:00,,2021-11-12
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Search in Finance,Tuck School of Business,,Finance,,,2021-11-19 00:00:00,Finance,2021-11-19
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Tufts University,Arts and Sciences,Economics,,,2022-01-31 00:00:00,Labor/Health/Education/Welfare/Economic History,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",The James and Chloe Epstein Professorship,Tufts University,Arts and Sciences,Economics,,,2022-01-31 00:00:00,"Energy/Environmental Economics /Natural Resource Economics /Energy Justice /Environmental, Social, and Governance (ESG) activities",2021-11-15
Full-Time Nonacademic,Economist,U.S. Census Bureau,,,"$87,198-$134,798",,2022-07-31 00:00:00,"Industrial Organization/ Labor Economics/ International Trade/ Environmental Economics/ Regional and Urban Economics/ Health Economics/ Differential Privacy/ Economics of Household, Education, and Migration/ Big Data/ Economic Measurement",2021-11-19
Full-Time Nonacademic,Financial Economist,U.S. Department of the Treasury,Office of Tax Analysis,,"110,455 – 172,500",,2021-11-21 00:00:00,,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Fellowship in Economic Analyses of Great Lakes Remediation and Restoration,U.S. EPA Office of Research and Development Center for Environmental Measurement and Modeling,Watershed and Ecosystem and Characterization Division,Watershed Management Branch,Depends on Degree and Level of Experience,,2022-01-31 00:00:00,Economic benefits/Sediment remediation/Habitat Restoration/Increase in Consumption of fish/Increase in recreational activities/Improved Ecosystem Services,
Full-Time Nonacademic,Economist,U.S. Food and Drug Administration,Office of the Commissioner,Office of Economics and Analysis,"$87,198- $113,362",,2021-12-01 00:00:00,Federal Government Economist/Health Economics/Cost-benefit analysis,
US: Other Academic (Visiting or Temporary),CE Project Scientist UC Berkeley Food Institute,UC ANR,Agriculture and Natural Resources,Kearney  Agricultural Research and Extension Center,,,2021-11-01 00:00:00,,
International: Other Academic (Visiting or Temporary),Post-Doctoral Position,UChicago/UCEMA Joint Initiative for Latin American Experimental Economics (JILAEE),,,,,2022-01-31 00:00:00,Field Experiments/Behavioral Economics/Latin America,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",2 Assistant Professors/Public Policy - Open Discipline,UMass Amherst School of Public Policy,,,,,2022-07-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",100% Tenure Track Position - Assistant Professor in Economics ,Unidistance,Behavioural Economics and/or International Empirical  Macroeconomics,Economics,,,2021-09-30 00:00:00,Assistant Professor,
Full-Time Nonacademic,Audit Director / Audit Evaluator Director - Cost &amp; Pricing Team,United States Postal Service - Office of Inspector General,Office of Audit,Cost &amp; Pricing,"144,128 - 172,500",,2021-10-11 00:00:00,Cost/Pricing/Audit/Evaluation/Finance/Accounting/Economist/Econometrics/Economy/CPA,
Full-Time Nonacademic,Audit Director / Audit Evaluator Director - Delivery &amp; Retail Operations Directorate,"United States Postal Service, Office of Inspector General",Office of Audit,Delivery &amp; Retail Operations,"138,053 - 172,500",,2021-10-11 00:00:00,Cost/Pricing/Audit/Evaluation/Finance/Accounting/Economist/Econometrics/Economy/CPA/Program/Investigation/Retail/Delivery/Logistics,
Full-Time Nonacademic,Audit Director / Audit Evaluation Director - Transportation Directorate,"United States Postal Service, Office of Inspector General",Office of Audit,Transporation Directorate,"140,428-172500",,2021-10-11 00:00:00,Cost/Pricing/Audit/Evaluation/Finance/Accounting/Economist/Econometrics/Economy/CPA/Program/Performance,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Full-time Assistant Professor or Associate Professor,Universidad Católica del Uruguay,,Department of Administration and Business,,,2021-10-20 00:00:00,Administration/Bussiness/Economics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,Universidad del Rosario,,School of Economics,,,2021-12-01 00:00:00,,2021-12-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor in Economics or Finance,Universidad EAFIT,School of Economics and Finance,Economics and Finance,Salary and rank open,,2021-12-01 00:00:00,"EAFIT, Economics, Finance, Tenure track, Tenured, Medellin, Colombia",2021-11-25
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Public Policy",University at Albany,,,,171487,2022-01-31 00:00:00,Public Administration and Policy,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Economics, Tenure Track","University at Buffalo, The State University of New York",College of Arts and Sciences,Economics,Competitive,,2022-01-31 00:00:00,Environmental economics/Health economics/Public economics/Transportation economics/Urban and regional economics/Assistant Professor/tenure track/University at Buffalo,2021-12-03
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Lecturer (Teaching) in Economics,University College London,Economics,,,698554,2022-09-24 00:00:00,,2021-10-23
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate/Full Professor of Economics,University of Alabama,Culverhouse College of Business,"Economics, Finance and Legal Studies",Competitive Salary,,2022-03-31 00:00:00,Experimental Economics/Behavioral Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","School of Public Health - Climate Change and Health, Tenured or Tenure-Track Professor",University of Alabama at Birmingham,,,,172373,2022-01-31 00:00:00,biostatistics/environmental health/epidemiology/health behaviors/health care organization,2021-10-07
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Health Economics",University of Alberta,,Department of Economics,,2497807,2022-01-31 00:00:00,,2021-10-21
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant / Associate / Full Professor, Economics",University of Arizona,Eller College of Management,Economics,Competitive,,2022-01-31 00:00:00,Econometrics/Industrial organization/Microeconomic theory,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Arkansas,Sam M. Walton College of Business ,Economics,,,2021-12-01 00:00:00,Economic Development/Econometrics/Economic Growth and Aggregate Productivity,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor/Professor - Lateral - Jurisprudence and Social Policy Program - School of Law,University of California Berkeley,,,,2478951,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor/Professor - Lateral - School of Law,University of California Berkeley,,,,2421261,2022-07-31 00:00:00,,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate, Full Professor - International Development Policy - Goldman School of Public Policy",University of California Berkeley,Goldman School of Public Policy,,,2487566,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Business &amp; Public Policy - Haas School of Business,University of California Berkeley,Haas School of Business,,,2374735,2022-01-31 00:00:00,,2021-11-29
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Economic Analysis and Policy ,University of California Berkeley,Haas School of Business,,,2374731,2022-01-31 00:00:00,,2021-11-29
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Finance - Haas School of Business,University of California Berkeley,Haas School of Business,,,2388341,2022-07-31 00:00:00,,2021-11-29
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Quantitative Marketing,University of California Berkeley,Haas School of Business,,,2369797,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Sustainability ,University of California Berkeley,Haas School of Business,,,2372885,2022-01-31 00:00:00,,2021-11-29
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor - Real Estate ,University of California Berkeley,Haas School of Business,,,2372680,2022-01-31 00:00:00,,2021-12-08
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Announcement of Tenure-Track Faculty Position in Healthcare and Business,University of California Los Angeles,Anderson School of Management,,,2513349,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Track or Tenured Faculty Position  in Health Policy at the Assistant or Associate Level,University of California Los Angeles,Fielding School of Public Health,Department of Health Policy and Management,,2474010,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - International Macroeconomics,"University of California, Davis",College of Letters and Science,Economics,,,2022-11-30 00:00:00,International Macroeconomics,2021-11-30
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor of Teaching, Economics","University of California, Riverside",Chass,Economics Department,Competitive,MARK.TANKERSLEY@UCR.EDU,2022-04-01 00:00:00,Economics/Professor/California/Teaching,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Population Health Sciences Faculty (Assistant or Associate Professor of Medicine),University of Central Florida College of Medicine,,,,R23927231,2021-12-15 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Chair, Department of Agriculture/Professor of Agribusiness Management",University of Central Missouri,,Agriculture,,,2022-01-31 00:00:00,Chair/Department of Agriculture/Professor of Agribusiness Management,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Chicago ,,Kenneth C. Griffin Department of Economics,,,2022-07-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Professor,University of Chicago,,Kenneth C. Griffin Department of Economics,,,2022-07-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor with Tenure,University of Chicago,,Kenneth C. Griffin Department of Economics,,,2022-07-31 00:00:00,,
US: Other Academic (Visiting or Temporary),Postdoctoral Scholar,University of Chicago,Social Sciences Division,Center for the Economics of Human Development,commensurate on experience,,2022-01-31 00:00:00,economics/public policy/early childhood education/home-visiting/parent-child interactions/skill formation/intergenerational mobility/neighborhood mobility/economic preferences/human flourishing/social mobility/creating and measuring skills/family and neighborhood dynamics/innovative empirical studies ,
US: Other Academic (Visiting or Temporary),Assistant Instructional Professor in Public Policy Studies,University Of Chicago Harris School of Public Policy,,,,,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Development Economics,University of Chicago Harris School of Public Policy ,,,,,2022-05-01 00:00:00,Development Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Economics,University of Chicago Harris School of Public Policy,,,,,2022-05-01 00:00:00,Economics,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Political Economy of Development,University of Chicago Harris School of Public Policy,,,,,2022-05-01 00:00:00,Political Economy of Development ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor – Energy and Environmental Economics and Policy,University of Chicago Harris School of Public Policy,,,,,2022-05-01 00:00:00,Energy and Environmental Economics,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate or Full Professor - Development Economics,University of Chicago Harris School of Public Policy ,,,,,2022-05-01 00:00:00,Development Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate or Full Professor - Education,University of Chicago Harris School of Public Policy ,,,,,2022-07-31 00:00:00,Education,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate or Full Professor – Energy and Environmental Economics and Policy,University of Chicago Harris School of Public Policy ,,,,,2022-05-01 00:00:00,Energy and Environmental Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Public Budgeting and Finance",University of Connecticut,College of Liberal Arts and Sciences,Department of Public Policy,,,2022-07-31 00:00:00,"public budgeting, public finance, public financial management, public administration, public policy, economics, political science, management",
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Microeconomics for Public Policy; Assistant Professors, Peace &amp; Security and Democratic Governance",University of Denver,Josef Korbel School of International Studies,,"$85,000-$95,000",,2021-09-29 00:00:00,Microeconomics/Public Policy/International Studies/Peace and Security/Democratic Governance/Social Science/Research,
US: Other Academic (Visiting or Temporary),Post-Doctoral Associate,University of Florida,,"Public Utility Research Center, Digital Markets Initiative",72000,,2022-01-31 00:00:00,Digital Economy/Competition/Regulation/Privacy,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor in Macroeconomics,University of Florida,College of Liberal Arts and Sciences,Economics,,,2022-01-31 00:00:00,Macroeconomics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Multiple Positions, Assistant/Associate/Full Professor",University of Florida,Institute of Food and Agricultural Sciences (IFAS),Food and Resource Economics Department,Commensurate with Qualifications and Experience,,2021-11-15 00:00:00,,
International: Other Academic (Visiting or Temporary),Post Doc,University of Geneva,Geneva School of Economics and Management,Institute of Economics and Econometrics,,,2021-11-19 00:00:00,,2021-11-19
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Joseph A. Schumpeter Professorship for Public Economics,University of Graz,Institute of Public Economics,"Faculty of Business, Economics and Social Sciences","The minimum remuneration as stated in the Collective Bargaining Agreement is EUR 74.503,80 gross per year. Salary subject to negotiation.",647187,2021-09-19 00:00:00,"Europe, Austria, Professorship, Economics",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Lecturer (Assistant Professor) or Higher,University of Haifa,The Herta and Paul Amir  Faculty of Social Sciences,Economics,,,2022-01-31 00:00:00,Macroeconomics/Inequality,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Economics",University of Houston - Clear Lake,College of Business,"Decision Sciences, Economics, Finance, and Marketing",,,2021-12-31 00:00:00,,2021-11-14
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Track Assistant Professor of Economics,University of Illinois at Chicago,College of Liberal Arts and Sciences,Economics,,,2021-12-13 00:00:00,Applied Microeconomics,2021-11-30
US: Other Academic (Visiting or Temporary),Visiting Associate/Full Professor,University of Illinois at Urbana-Champaign,,Department of Economics,Commensurate with Experience,,2021-10-08 00:00:00,Econometrics/Quantitative/Microeconomics/Machine Learning/Theoretical and Applied Econometrics/Applied Economics,
US: Other Academic (Part-time or Adjunct),Lecturer in Economics,University of Kansas,School of Business,Finance Academic Area,,,2022-01-31 00:00:00,Business Economics/Finance,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate Professor,University of Kansas Medical Center,,,,2425474,2022-07-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Manitoba,,Agribusiness and Agricultural Economics,,,2021-09-15 00:00:00,Agricultural Economics/Agribusiness,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor ,University of Manitoba,Faculty of Arts,Economics,The salary for the position will be commensurate with the qualifications and experience of the chosen candidate. ,,2021-11-22 00:00:00,Microeconomic Theory,2021-11-22
US: Other Academic (Visiting or Temporary),Postdoctoral Fellowship in Health Economics and Outcomes Research,"University of Maryland, Baltimore",School of Pharmacy,Pharmaceutical Health Services Research Department - PATIENTS Program,Fellows receive a competitive salary and benefits.,,,Health Economics/Cost of Illness/Cost Effective/Patient-centered,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor – Economics of Race and Ethnicity, Stratification Economics",University of Massachusetts Amherst,College of Social and Behavioral Sciences,Economics,"$120,000",,2021-11-15 00:00:00,Economics of Race and Ethnicity/Stratification Economics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor (Economics),University of Massachusetts Boston,,Economics ,,70389,2022-01-22 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Advanced Assistant or Associate Professor of Economics,University of Memphis,,,,,2021-11-19 00:00:00,Health Economics/Public Economics/Advanced Assistant Professor/Associate Professor,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Chair for Department of Economics,University of Miami ,Miami Herbert Business School,Economics,,,2022-01-31 00:00:00,"Economics, Chair, University of Miami, Miami Herbert Business School, Tenure Professor",
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",LSA Collegiate Fellows,University of Michigan,College of Literature Science and the Arts (LSA),,,,2021-10-04 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor/Associate Professor/Professor,University of Michigan,"College of Literature, Science, and the Arts",Economics,,,2021-12-31 00:00:00,Any Field,2021-11-05
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Education Leadership and Policy Positions,University of Michigan-Ann Arbor,,Educational Studies,,,2022-01-31 00:00:00,Education Leadership /Education Policy,2021-10-12
US: Other Academic (Part-time or Adjunct),Adjunct Online Instructor,University of Missouri,,Economics,Competitive,,2022-01-31 00:00:00,General Teaching,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Nevada Las Vegas,Lee Business School,Economics,competitive,,2022-01-31 00:00:00,Public Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,University of Nevada Las Vegas,Lee Business School,Economics,competitive,,2022-01-31 00:00:00,International Economics,
